Id,Type,Vessel,Dir,Origin,Destination,Dep_Date,Arr_Date,Code,Trip ID
235,CHOPPER,HN,OUT,UTP,JAS,2025-05-22,2025-05-22,N-OUT,C-HN-UTP:05/22 > JAS:05/22
236,CHOPPER,HN,IN,JAS,UTP,2025-05-22,2025-05-22,N-IN,C-HN-JAS:05/22 > UTP:05/22
237,CHOPPER,HS,OUT,SKL,WN,2025-05-23,2025-05-23,S-OUT,C-HS-SKL:05/23 > WN:05/23
238,CHOPPER,HS,IN,WN,SKL,2025-05-23,2025-05-23,S-IN,C-HS-WN:05/23 > SKL:05/23
239,CHOPPER,HN,OUT,UTP,JAS,2025-05-24,2025-05-24,N-OUT,C-HN-UTP:05/24 > JAS:05/24
240,CHOPPER,HN,IN,JAS,UTP,2025-05-24,2025-05-24,N-IN,C-HN-JAS:05/24 > UTP:05/24
241,CHOPPER,HN,OUT,UTP,MNA,2025-05-24,2025-05-24,N-OUT,C-HN-UTP:05/24 > MNA:05/24
242,CHOPPER,HN,IN,MNA,UTP,2025-05-24,2025-05-24,N-IN,C-HN-MNA:05/24 > UTP:05/24
243,CHOPPER,HS,OUT,SKL,NY,2025-05-24,2025-05-24,S-OUT,C-HS-SKL:05/24 > NY:05/24
244,CHOPPER,HS,IN,NY,SKL,2025-05-24,2025-05-24,S-IN,C-HS-NY:05/24 > SKL:05/24
245,CHOPPER,HN,OUT,UTP,JAS,2025-05-26,2025-05-26,N-OUT,C-HN-UTP:05/26 > JAS:05/26
246,CHOPPER,HN,IN,JAS,UTP,2025-05-26,2025-05-26,N-IN,C-HN-JAS:05/26 > UTP:05/26
247,CHOPPER,HN,OUT,UTP,MNA,2025-05-26,2025-05-26,N-OUT,C-HN-UTP:05/26 > MNA:05/26
248,CHOPPER,HN,IN,MNA,UTP,2025-05-26,2025-05-26,N-IN,C-HN-MNA:05/26 > UTP:05/26
249,CHOPPER,HS,OUT,SKL,NY,2025-05-28,2025-05-28,S-OUT,C-HS-SKL:05/28 > NY:05/28
250,CHOPPER,HS,IN,NY,SKL,2025-05-28,2025-05-28,S-IN,C-HS-NY:05/28 > SKL:05/28
251,CHOPPER,HS,OUT,SKL,WN,2025-05-28,2025-05-28,S-OUT,C-HS-SKL:05/28 > WN:05/28
252,CHOPPER,HS,IN,WN,SKL,2025-05-28,2025-05-28,S-IN,C-HS-WN:05/28 > SKL:05/28
253,CHOPPER,HN,OUT,UTP,JAS,2025-05-29,2025-05-29,N-OUT,C-HN-UTP:05/29 > JAS:05/29
254,CHOPPER,HN,IN,JAS,UTP,2025-05-29,2025-05-29,N-IN,C-HN-JAS:05/29 > UTP:05/29
255,CHOPPER,HS,OUT,SKL,WN,2025-05-30,2025-05-30,S-OUT,C-HS-SKL:05/30 > WN:05/30
256,CHOPPER,HS,IN,WN,SKL,2025-05-30,2025-05-30,S-IN,C-HS-WN:05/30 > SKL:05/30
257,CHOPPER,HN,OUT,UTP,JAS,2025-05-31,2025-05-31,N-OUT,C-HN-UTP:05/31 > JAS:05/31
258,CHOPPER,HN,IN,JAS,UTP,2025-05-31,2025-05-31,N-IN,C-HN-JAS:05/31 > UTP:05/31
259,CHOPPER,HN,OUT,UTP,MNA,2025-05-31,2025-05-31,N-OUT,C-HN-UTP:05/31 > MNA:05/31
260,CHOPPER,HN,IN,MNA,UTP,2025-05-31,2025-05-31,N-IN,C-HN-MNA:05/31 > UTP:05/31
261,CHOPPER,HS,OUT,SKL,NY,2025-05-31,2025-05-31,S-OUT,C-HS-SKL:05/31 > NY:05/31
262,CHOPPER,HS,IN,NY,SKL,2025-05-31,2025-05-31,S-IN,C-HS-NY:05/31 > SKL:05/31
263,CHOPPER,HN,OUT,UTP,JAS,2025-06-02,2025-06-02,N-OUT,C-HN-UTP:06/02 > JAS:06/02
264,CHOPPER,HN,IN,JAS,UTP,2025-06-02,2025-06-02,N-IN,C-HN-JAS:06/02 > UTP:06/02
265,CHOPPER,HS,OUT,SKL,NY,2025-06-04,2025-06-04,S-OUT,C-HS-SKL:06/04 > NY:06/04
266,CHOPPER,HS,IN,NY,SKL,2025-06-04,2025-06-04,S-IN,C-HS-NY:06/04 > SKL:06/04
267,CHOPPER,HS,OUT,SKL,WN,2025-06-04,2025-06-04,S-OUT,C-HS-SKL:06/04 > WN:06/04
268,CHOPPER,HS,IN,WN,SKL,2025-06-04,2025-06-04,S-IN,C-HS-WN:06/04 > SKL:06/04
269,CHOPPER,HN,OUT,UTP,JAS,2025-06-05,2025-06-05,N-OUT,C-HN-UTP:06/05 > JAS:06/05
270,CHOPPER,HN,IN,JAS,UTP,2025-06-05,2025-06-05,N-IN,C-HN-JAS:06/05 > UTP:06/05
271,CHOPPER,HN,OUT,UTP,JAS,2025-06-06,2025-06-06,N-OUT,C-HN-UTP:06/06 > JAS:06/06
